Unnamed-0,Unnamed-1,Unnamed-2,Unnamed-3,Payments-Due-by-Period,Unnamed-5
,Total,Less than 1 year,1-3 Years,4-5 Years,More than 5 Years
Contractual cash obligations:,,,,,
Operating leases,"$2,040",$611,$902,$527,$—
Finance software lease obligations,514,214,300,—,—
Wafer purchases (1),57,57,—,—,—
Other purchase commitments,413,386,27,—,—
Total contractual cash obligations,"3,024","1,268","1,229",527,—
Other commercial commitments (2):,,,,,
Revolving line of credit,"15,000","15,000",—,—,—
Total commercial commitments,"15,000","15,000",—,—,—
Total contractual obligations and commercial commitments (3),"$18,024","$16,268","$1,229",$527,—
