Unnamed-0,Unnamed-1,Years-Ended-December-31,Unnamed-3
,2019,2018,2017
Foreign Exchange Contracts:,,,
Amounts reclassified from AOCI to earnings:,,,
Net sales,$—,$383,$(488)
Cost of goods sold,860,(6),497
"Selling, general and administrative",92,107,45
Total amounts reclassified from AOCI to earnings,952,484,54
Loss recognized in other expense for hedge ineffectiveness,—,—,(1)
Loss recognized in other expense for derivatives not designated as cash flow hedges,—,—,(15)
Total derivative gain on foreign exchange contracts recognized in earnings,$952,$484,$38
Interest Rate Swaps:,,,
Benefit recorded in interest expense,$491,$421,$37
Total gain,"$1,443",$905,$75
