Unnamed-0,Year-ended-31-December,Unnamed-2
,2019,2018
,(RMB in millions),
Revenues,"377,289","312,694"
Cost of revenues,"(209,756)","(170,574)"
Gross profit,"167,533","142,120"
Interest income,"6,314","4,569"
"Other gains, net","19,689","16,714"
Selling and marketing expenses,"(21,396)","(24,233)"
General and administrative expenses,"(53,446)","(41,522)"
Operating profit,"118,694","97,648"
"Finance costs, net","(7,613)","(4,669)"
Share of (loss)/profit of associates and joint ventures,"(1,681)","1,487"
Profit before income tax,"109,400","94,466"
Income tax expense,"(13,512)","(14,482)"
Profit for the year,"95,888","79,984"
Attributable to:,,
Equity holders of the Company,"93,310","78,719"
Non-controlling interests,"2,578","1,265"
,"95,888","79,984"
Non-IFRS profit attributable to equity holders of the Company,"94,351","77,469"
