Unnamed-0,Unnamed-1,Unnamed-2,Year-Ended-December-31,Unnamed-4,Unnamed-5
Selected Consolidated Statements of Operations Data:,2019,2018,2017,2016,2015
Total revenue,"$529,646","$414,673","$325,887","$263,865","$173,457"
Cost of revenue (exclusive of depreciation and amortization),"248,580","160,439","89,708","79,145","36,506"
Total costs and expenses,"408,693","261,883","180,288","144,054","80,351"
Operating profit,"120,953","152,790","145,599","119,811","93,106"
"Total other income (expense), net","(32,105)","(19,276)","(6,931)","4,653",713
Income before income tax expense,"88,848","133,514","138,668","124,464","93,819"
Income tax expense (benefit),"(7,125)","5,534",—,—,—
Net income,"95,973","127,980","138,668","124,464","93,819"
Net income attributable to noncontrolling interests,"63,993","103,724",,,
"Net income attributable to GreenSky, Inc.","31,980","24,256",,,
Earnings per share of Class A common stock(1):,,,,,
Basic,$0.52,$0.43,,,
Diluted,$0.49,$0.41,,,
