Unnamed-0,Post-Retirement-Life-Insurance-Plan,Unnamed-2
,2019,2018
Accumulated benefit obligation,"$4,766","$4,595"
Change in projected benefit obligation:,,
Projected benefit obligation at January 1,"$4,595","$5,134"
Service cost,1,2
Interest cost,170,156
Benefits paid,(145),(157)
Actuarial loss (gain),145,(540)
Projected benefit obligation at December 31,"$4,766","$4,595"
Change in plan assets:,,
Assets at fair value at January 1,$—,$—
Actual return on assets,—,—
Company contributions,145,157
Benefits paid,(145),(157)
Other,—,—
Assets at fair value at December 31,$—,$—
Funded status (plan assets less projected benefit obligations),"$(4,766)","$(4,595)"
