Unnamed-0,Unnamed-1,December-31-2019,Unnamed-3,December-31-2018,Unnamed-5
,Level,Carrying Value,Fair Value,Carrying Value,Fair Value
Assets:,,,,,
Cash and cash equivalents(1),1,"$195,760","$195,760","$303,390","$303,390"
"Loan receivables held for sale, net(2)",2,"51,926","55,958","2,876","3,552"
Servicing assets(3),3,"30,459","30,459",—,—
Liabilities:,,,,,
Finance charge reversal liability(3),3,"$206,035","$206,035","$138,589","$138,589"
Term loan(1),2,"384,497","392,201","386,822","386,234"
Interest rate swap(3),2,"2,763","2,763",—,—
Servicing liabilities(3),3,"3,796","3,796","3,016","3,016"
