Unnamed-0,Unnamed-1,Years-Ended-December-31,Unnamed-3
,2019,2018,2017
Income from continuing operations,"$56,495","$147,149","$136,101"
Income from continuing operations attributable to noncontrolling interest,34,86,—
"Income from continuing operations attributable to Advanced Energy Industries, Inc.","$56,461","$147,063","$136,101"
Basic weighted-average common shares outstanding,"38,281","39,081","39,754"
Assumed exercise of dilutive stock options and restricted stock units,214,271,422
Diluted weighted-average common shares outstanding,"38,495","39,352","40,176"
Continuing operations:,,,
Basic earnings per share,$ 1.47,$ 3.76,$  3.42
Diluted earnings per share,$ 1.47,$ 3.74,$  3.39
