Unnamed-0,Unnamed-1,December-31-2019,Unnamed-3,Unnamed-4
,Level 1,Level 2,Level 3,Total
Multi-Asset Fund,$ —,"$4,825",$ —,"$ 4,825"
Diversified Growth Fund,—,"4,855",—,"4,855"
Index-Linked Gilts,—,"1,934",—,"1,934"
Corporate Bonds,—,"2,090",—,"2,090"
Insurance Contracts,—,—,"1,045","1,045"
Cash,154,—,—,154
Total,$154,"$13,704","$1,045","$14,903"
,,"December 31, 2018",,
,Level 1,Level 2,Level 3,Total
Multi-Asset Fund,$ —,"$4,570",$—,"$4,570"
Diversified Growth Fund,—,"4,650",—,"4,650"
Index-Linked Gilts,—,"2,044",—,"2,044"
Corporate Bonds,—,"2,044",—,"2,044"
Insurance Contracts,—,—,72,72
Cash,53,—,—,53
Total,$53,"$13,308",$72,"$13,433"
