Unnamed-0,Unnamed-1,Fiscal-Year,Unnamed-3
($ in millions),2019,2018,2017
Net cash provided from operating activities,$232.4,$209.2,$130.3
"Purchases of property, plant, equipment and software",(180.3),(135.0),(98.5)
"Acquisition of businesses, net of cash acquired",(79.0),(13.3),(35.3)
Proceeds from divestiture of business,—,—,12.0
"Proceeds from disposals of property, plant and equipment and assets held for sale",0.4,1.9,2.5
Proceeds from note receivable from sale of equity method investment,—,6.3,6.3
Proceeds from insurance recovery,11.4,—,—
Dividends paid,(38.6),(34.4),(34.1)
Free cash flow,$(53.7),$34.7,$(16.8)
