m,2018-19,2017-18,Change
Adjusted EBITDA3,145.5,139.6,5.9
Depreciation,(17.0),(16.6),(0.4)
Trading profit,128.5,123.0,5.5
Amortisation of intangible assets,(34.4),(36.3),1.9
Fair value movements on foreign exchange and derivatives,(1.3),0.1,(1.4)
Net interest on pensions and administrative expenses,(1.3),(2.5),1.2
Non-trading items,,,
GMP equalisation,(41.5),–,(41.5)
Restructuring costs,(16.8),(8.5),(8.3)
Impairment of goodwill and intangible assets,(30.6),(6.5),(24.1)
Other,1.9,–,1.9
Operating profit,4.5,69.3,(64.8)
