Unnamed-0,Unnamed-1,Unnamed-2,Fair-Value-Measurements-at-Reporting-Date-Using,Unnamed-4
,"December 31, 2019",Quoted Prices in Active Markets for Identical Assets (Level 1),Significant Other Observable Inputs (Level 2),Significant Unobservable Inputs (Level 3)
Assets:,,,,
Cash equivalents:,,,,
Money market funds .,"$7,322","$7,322",$ —,$ —
Marketable securities:,,,,
Foreign debt,"387,820",—,"387,820",—
Foreign government obligations,"22,011",—,"22,011",—
U.S. debt .,"66,134",—,"66,134",—
Time deposits .,"335,541","335,541",—,—
Restricted investments .,"223,785",—,"223,785",—
Derivative assets .,"1,338",—,"1,338",—
Total assets .,"$ 1,043,951","$ 342,863","$ 701,088",$ —
Liabilities:,,,,
Derivative liabilities,"$ 10,021",$ —,"$ 10,021",$ —
