Unnamed-0,Unnamed-1,Unnamed-2,Payments-Due-by-Period,Unnamed-4,Unnamed-5
,Total,Less than 1 year,1-3 years,3-5 years,More than 5 years
Operating lease obligations,"$ 70,284","$ 17,180","$ 23,116","$ 12,738","$ 17,250"
Term loans,"756,060","38,950","89,381","627,729",—
Term loans interest (1),"117,168","30,025","55,232","31,911",—
Revolving credit facility,"239,000",—,—,"239,000",—
Revolving credit facility interest (2),"40,528","9,536","19,072","11,920",—
Senior notes,"400,000",—,—,—,"400,000"
Senior notes interest (3),"149,500","23,000","46,000","46,000","34,500"
Financed internal-use software (4),"13,822","5,974","7,848",—,—
Total,"$1,786,362","$124,665","$240,649","$969,298","$451,750"
