Unnamed-0,Unnamed-1,Year-Ended-December-31,Unnamed-3
,2019,2018,2017
"Proceeds from issuance of senior notes, net","$4,876.7",$584.9,"$2,674.0"
"Proceeds from (repayments of) credit facilities, net",425.0,(695.9),628.6
Distributions paid on common and preferred stock,"(1,603.0)","(1,342.4)","(1,164.4)"
Purchases of common stock,(19.6),(232.8),(766.3)
Repayments of securitized debt,—,(500.0),(302.5)
"(Distributions to) contributions from noncontrolling interest holders, net (1)",(11.8),(14.4),264.3
Repayments of senior notes,"(1,700.0)",—,"(1,300.0)"
"(Repayments of) proceeds from term loan, net",(500.0),"1,500.0",—
Purchase of redeemable noncontrolling interest (2),(425.7),—,—
Proceeds from issuance of securities in securitization transaction,—,500.0,
