Unnamed-0,Level-1,Level-2,Level-3,Total
Cash and cash equivalents,$1.0,$65.0,$—,$66.0
Equity securities:,,,,
U.S. equity securities,319.8,124.0,—,443.8
International equity securities,256.5,1.0,—,257.5
Fixed income securities:,,,,
Government bonds,—,"1,854.8",—,"1,854.8"
Corporate bonds,—,4.7,—,4.7
Mortgage-backed bonds,—,9.3,—,9.3
Real estate funds,7.7,—,—,7.7
Master limited partnerships,0.4,—,—,0.4
Net receivables for unsettled transactions,10.9,—,—,10.9
Fair value measurement of pension plan assets in the fair value hierarchy,$596.3,"$2,058.8",$—,"$2,655.1"
Investments measured at net asset value,,,,700.0
Total pension plan assets,,,,"$3,355.1"
