FOR-THE-YEAR-ENDED-DECEMBER-31,NOTE,2019,2018
Trade payables and accruals,,"2,604","2,535"
Compensation payable,,589,589
Maple Leaf Sports and Entertainment Ltd. (MLSE) financial liability (1),26.0,135,135
Taxes payable,,101,129
Derivative liabilities,26.0,49,27
Severance and other costs payable,,35,63
Provisions,23.0,33,66
CRTC tangible benefits obligation,26.0,28,38
CRTC deferral account obligation,26.0,13,16
Other current liabilities,,367,343
Total trade payables and other liabilities,,"3,954","3,941"
