Openreachc,Unnamed-1,Unnamed-2,Unnamed-3,Unnamed-4
"Adjusteda revenue £5,075m",,,Adjusteda operating profit £955m,
,2019 (IFRS 15),2018 (IAS 18),Change,
Year to 31 March,£m,£m,£m,%
Adjusted a revenue,"5,075","5,278",(203),(4)
Adjusted a operating costs,"2,652","2,663",(11),–
Adjusted a EBITDA,"2,423","2,615",(192),(7)
Depreciation & amortisation,"1,468","1,401",67,5
Adjusted a operating profit,955,"1,214",(259),(21)
Capital expenditure,"2,081","1,699",382,22
Normalised free cash flowb,685,"1,100",(415),(38)
