Unnamed-0,Total,Less-than-1-Year,1-3-years,3-5-years,More-than-5-years
Contractual Obligations:                        ,,,,,
Debt obligations,"$180,500","$9,500","$28,500","$142,500",$—
Interest on debt obligations  ,"25,582","8,333","14,952","2,297",—
Inventory unconditional purchase obligations,"51,241","51,241",—,—,—
Contractual commitments,"94,000","23,500","47,000","23,500",—
Non-cancellable operating lease obligations,"104,678","22,733","41,854","23,804","16,287"
Deferred payments for an acquisition,"15,000","4,000","8,000","3,000",—
Contingent consideration for an acquisition,"6,298","4,236","2,013",49,—
Other liabilities  ,379,124,249,6,—
Total contractual cash obligations ,"$477,678","$123,667","$142,568","$195,156","$16,287"
