Unnamed-0,2019,2018
,$M,$M
Current,,
Derivatives,45,53
Total current other financial assets,45,53
Non‑current,,
Derivatives,501,366
Listed equity securities,91,96
Investments in associates,59,57
Loans provided to related parties,41,3
Total non‑current other financial assets,692,522
Total other financial assets,737,575
Current,,
Derivatives,58,50
Total current other financial liabilities,58,50
Non‑current,,
Derivatives,24,61
Total non‑current other financial liabilities,24,61
Total other financial liabilities,82,111
