Unnamed-0,Year-ended-31-March-2019,Year-ended-31-March-2018-Restated-See-note-2
,$M,$M
Profit / (loss) for the year before taxation,53.6,(41.0)
Loss for the year before taxation multiplied by the standard rate of corporation tax in the UK of 19% (2018: 19%),10.2,(7.7)
Effects of:,,
Adjustments in respect of previous years,0.8,7.1
Change in tax rate during the year,1.4,3.6
Expenses not deductible for tax purposes,11.8,9.4
Losses not recognised,(0.9),–
Higher tax rates on overseas earnings,7.7,3.8
Research and development and other tax credits,(1.9),(0.6)
Impact of US tax reform on deferred tax,–,5.4
Other movements,(2.4),(1.1)
Charge for taxation on profit / (loss) for the year,26.7,19.9
