Unnamed-0,Unnamed-1,Unnamed-2,Payments-Due-by-Year,Unnamed-4,Unnamed-5
,,Less Than,1 - 3,3 - 5,More Than
,Total,1 Year,Years,Years,5 Years
Long-term debt obligations,"$482,892","$17,684","$98,571","$37,496","$329,141"
Interest payments (1) .,"168,040","17,276","29,533","27,409","93,822"
Operating lease obligations,"162,913","15,153","28,771","26,708","92,281"
Purchase obligations (2) .,"1,424,267","900,200","221,888","187,277","114,902"
Recycling obligations .,"137,761",—,—,—,"137,761"
Contingent consideration (3) .,"6,895","2,395","4,500",—,—
Transition tax obligations (4) .,"76,667","6,620","14,747","32,259","23,041"
Other obligations (5) .,"10,527","2,933","5,164","2,430",—
Total .,"$2,469,962","$962,261","$403,174","$313,579","$790,948"
