million,2017-2018,2018-2019
EBT (earnings before taxes),576,709
Expected income tax expenses (30.53%),176,216
Effects of differing national tax rates,−58,−62
Tax expenses and income relating to other periods,−21,−6
Non-deductible business expenses for tax purposes,41,51
Effects of not recognised or impaired deferred taxes,79,114
Additions and reductions for local taxes,11,13
Tax holidays,−14,−39
Other deviations,3,5
Income tax expenses according to the income statement,216,298
Group tax rate,37.6%,42.0%
