Unnamed-0,Number-of-shares,Weighted-average-exercise-price,Weighted-average-remaining-contractual-term,Aggregate-Intrinsic-Value-in-thousands
"Outstanding at September 30, 2017","9,376",4.49,-,-
Granted,-,-,-,-
Expired,"(1,250)",6.82,-,-
Forfeited,-,-,-,-
Exercised,"(4,626)",4.67,-,-
"Outstanding at September 30, 2018","3,500",$3.42,-,-
Granted,-,-,-,-
Expired,(500),$2.99,-,-
Forfeited,-,-,-,-
Exercised,"(1,000)",2.99,-,-
"Outstanding at September 30, 2019","2,000",$3.75,.98 years,$19
"Exercisable at September 30, 2019","2,000",$3.75,.98 years,$19
"Vested and expected to vest at September 30, 2019","2,000",$3.75,.98 years,$19
