Unnamed-0,Number-of-awards,Weighted-average-contractual-life,Aggregate-fair-value
RCUs,,,
"Outstanding as of January 1, 2018","67,475",1.38,"1,429"
Granted during the year,"24,608",—,576
Vested during the year,"(16,999)",—,(410)
"Outstanding as of December 31, 2018","75,084",1.25,"1,595"
Granted during the year,"26,308",—,605
Vested during the year,"(24,925)",—,(410)
"Outstanding as of December 31, 2019","76,467",1.26,"1,790"
PCUs,,,
"Outstanding as of January 1, 2018","67,475",1.38,"1,429"
Granted during the year,"24,608",—,576
Vested during the year,"(16,999)",—,(410)
"Outstanding as of December 31, 2018","75,084",1.25,"1,595"
Granted during the year,"26,308",—,605
Vested during the year,"(24,925)",—,(410)
"Outstanding as of December 31, 2019","76,467",1.26,"1,790"
