Unnamed-0,Unnamed-1,Unnamed-2,Fiscal-Year,Unnamed-4,Unnamed-5
,2019,2018,2017,2016,2015
Company-operated restaurants:,,,,,
Beginning of period,137,276,417,413,431
New,—,1,2,4,2
Refranchised,—,(135),(178),(1),(21)
Closed,—,(5),(15),—,(6)
Acquired from franchisees,—,—,50,1,7
End of period total,137,137,276,417,413
% of system,6%,6%,12%,18%,18%
Franchise restaurants:,,,,,
Beginning of period,"2,100","1,975","1,838","1,836","1,819"
New,19,11,18,12,16
Refranchised,—,135,178,1,21
Closed,(13),(21),(9),(10),(13)
Sold to company,—,—,(50),(1),(7)
End of period total,"2,106","2,100","1,975","1,838","1,836"
% of system,94%,94%,88%,82%,82%
System end of period total,"2,243","2,237","2,251","2,255","2,249"
