Unnamed-0,Unnamed-1,Unnamed-2,Payments-Due-by-Period,Unnamed-4,Unnamed-5
,Total,Less than 1 year,1-3 years,3-5 years,More than 5 years
Senior Notes(1),"$4,552","$1,372","$1,686",$98,"$1,396"
Note payable to Dell(2),283,5,278,—,—
Term Loan(3),"1,500","1,500",—,—,—
Future Lease Commitments(4),"1,202",144,268,178,612
Purchase obligations,255,168,87,—,—
Tax obligations(5),545,53,104,227,161
Asset Retirement Obligations,13,1,5,2,5
Sub-Total,"8,350","3,243","2,428",505,"2,174"
Uncertain tax positions(6),479,,,,
Total,"$8,829",,,,
