In-millions,2019,2018,2017
2019 Three-year PSU Awards,$ 4.3,$ —,$ —
2018 Three-year PSU Awards,0.2,2.7,—
2017 Three-year PSU Awards(1),—,3.7,9.8
2017 COO and Chief Executive Officer-Designate 2017 New Hire Equity Awards,0.2,0.2,0.1
2016 Three-year PSU Awards(1),—,(3.0 ),2.0
2016 President & CEO Inducement Award,—,—,0.5
2015 Three-year PSU Awards,—,—,(0.8)
2014 Special PSU Awards(2),—,—,3.2
SLO Awards,3.2,1.6,1.1
Other long-term share-based incentive compensation programs(3)(4),26.5,24.7,32.6
Total share-based incentive compensation expense(5),$ 34.4,$ 29.9,$ 48.5
Associated tax benefits recognized,$ 5.8,$ 4.9,$ 11.8
