Unnamed-0,2019,2018,2017
,,(in thousands),
Restricted Stock Units:,,,
Non-vested at January 1,"2,454","3,174","3,778"
Awarded,"1,139",790,939
Vested,"(1,237)","(1,382)","(1,434)"
Forfeited,(87),(128),(109)
Non-vested at December31,"2,269","2,454","3,174"
Stock Options:,,,
Outstanding at January 1,506,531,926
Granted,102,69,111
Exercised,(280),(94),(501)
Forfeited,(7),—,—
Expired,(2),—,(5)
Outstanding at December 31,319,506,531
Vested and expected to vest at December 31,319,506,531
Exercisable at December 31,85,256,233
