million,2017-18,2018-19
Cash flow from operating activities of continuing operations,766,796
Cash flow from operating activities of discontinued operations,139,157
Cash flow from operating activities,905,953
Cash flow from investing activities of continuing operations,−292,46
Cash flow from investing activities of discontinued operations,−89,−136
Cash flow from investing activities,−381,−90
Cash flow before financing activities of continuing operations,474,842
Cash flow before financing activities of discontinued operations,50,21
Cash flow before financing activities,524,863
Cash flow from financing activities of continuing operations,−587,"−1,122"
Cash flow from financing activities of discontinued operations,−74,−109
Cash flow from financing activities,−661,"−1,231"
Total cash flows,−137,−368
Currency effects on cash and cash equivalents,−30,17
Total change in cash and cash equivalents,−167,−351
