Unnamed-0,Amortized-Cost,Unrealized-Gains,Unrealized-Losses,Fair-Value
Current assets:,,,,
Cash,"$54,275",$—,$—,"$54,275"
Cash equivalents:,,,,
Money market funds,"129,321",—,—,"129,321"
Total cash equivalents,"129,321",—,—,"129,321"
Total cash and cash equivalents,"183,596",—,—,"183,596"
Short-term investments:,,,,
Corporate bonds,"58,115",—,(82),"58,033"
US treasury securities,"138,826",—,(100),"138,726"
Commercial paper,"7,973",—,—,"7,973"
Total short-term investments,"204,914",—,(182),"204,732"
Long-term investments:,,,,
Strategic investments,"1,250",—,—,"1,250"
Total long-term investments,"$1,250",$—,$—,"$1,250"
