Unnamed-0,Depreciable-Lives,As-of-December-31,Unnamed-3
,,2019,2018
,,(Dollars in millions),
Land,,$867,871
"Fiber, conduit and other outside plant(1)",15-45 years,"24,666","23,936"
Central office and other network electronics(2),3-10 years,"19,608","18,736"
Support assets(3),3-30 years,"7,984","8,020"
Construction in progress(4),,"2,300","1,704"
"Gross property, plant and equipment",,"55,425","53,267"
Accumulated depreciation,,"(29,346)","(26,859)"
"Net property, plant and equipment",,"$26,079","26,408"
