Unnamed-0,Unnamed-1,Year-Ended,Unnamed-3
(In millions),"March 29, 2019","March 30, 2018","March 31, 2017"
Balance at beginning of year,$378,$248,$197
Settlements with tax authorities,(3),(4),(23)
Lapse of statute of limitations,(17),(3),(9)
Increase related to prior period tax positions,16,35,21
Decrease related to prior period tax positions,(11),—,(9)
Increase related to current year tax positions,75,98,38
Increase due to acquisition,8,4,33
Net increase,68,130,51
Balance at end of year,$446,$378,$248
