Unnamed-0,Unnamed-1,Years-Ended-December-31,Unnamed-3
,2019,2018,2017
,,(Dollars in millions),
Total segment adjusted EBITDA,"$15,987","16,647","12,560"
Depreciation and amortization,"(4,829)","(5,120)","(3,936)"
Goodwill impairment,"(6,506)","(2,726)",—
Other operating expenses,"(7,216)","(8,045)","(6,504)"
Share-based compensation,(162),(186),(111)
Operating (loss) income,"(2,726)",570,"2,009"
"Total other expense, net","(2,040)","(2,133)","(1,469)"
(Loss) income before income taxes,"(4,766)","(1,563)",540
Income tax expense (benefit),503,170,(849)
Net (loss) income,"$(5,269)","(1,733)","1,389"
