Unnamed-0,2019,2018,2017
Federal statutory income tax rate,21.0 %,24.5 % ,35.0 %
Increase (decrease) resulting from:      ,,,
Foreign tax rate differences,(21.0),(30.2),(39.9)
Withholding tax on dividends ,(5.4),23.7,—
Permanent differences ,(1.3),0.8,3.0
Excess tax benefits related to share-based compensation ,(1.3),(2.7),(2.0)
"Global intangible low-taxed income (""GILTI"") ",11.7,—,—
Deemed repatriation tax ,5.6,92.2,—
Non-deductible compensation,1.5,0.2,0.2
Valuation allowances ,1.5,(30.6),12.2
Rate changes ,—,9.0,—
"Other, net ",1.5,1.0,(0.5)
Effective income tax rate,13.8 % ,87.9 % ,8.0 %
