Unnamed-0,Year-Ended,Year-Ended-1
,"December 31, 2019","December 31, 2018"
,$,$
Realized (losses) gains relating to:,,
Interest rate swap agreements,"(8,296)","(13,898)"
Interest rate swap agreement terminations,—,"(13,681)"
Foreign currency forward contracts,(147),—
Stock purchase warrants,"(25,559)",—
Forward freight agreements,"1,490",137
,"(32,512)","(27,442)"
Unrealized (losses) gains relating to:,,
Interest rate swap agreements,"(7,878)","33,700"
Foreign currency forward contracts,(200),—
Stock purchase warrants,"26,900","(21,053)"
Forward freight agreements,(29),(57)
,"18,793","12,590"
Total realized and unrealized losses on derivative instruments,"(13,719)","(14,852)"
