Enterprise-d,Unnamed-1,Unnamed-2,Unnamed-3,Unnamed-4
"Adjusteda revenue £6,292m",,,"Adjusteda operating profit £1,356m",
,2019 (IFRS 15),2018 (IAS 18),Change,
Year to 31 March,£m,£m,£m,%
Adjusted a revenue,"6,292","6,647",(355),(5)
Adjusted a operating costs,"4,302","4,570",(268),(6)
Adjusted a EBITDA,"1,990","2,077",(87),(4)
Depreciation & amortisation,634,635,(1),-
Adjusted a operating profit,"1,356","1,442",(86),(6)
Capital expenditure,501,492,9,2
Normalised free cash flow b,"1,483","1,587",(104),(7)
