in-millions-except-per-share-amounts,Unnamed-1,Unnamed-2,Unnamed-3
For the year ended December 31:*,2019,2018,Yr.-to-Yr. Percent Change
Net income as reported,"$ 9,431","8,728*",8.1%
"Income/(loss) from discontinued operations, net of tax",(4),5,NM
Income from continuing operations,"$ 9,435","8,723*",8.2%
Non-operating adjustments (net of tax),,,
Acquisition-related charges,"1,343",649,107.0
Non-operating retirement-related costs/(income),512,"1,248",(58.9)
U.S. tax reform charge,146,"2,037",(92.8)
Operating (non-GAAP) earnings,"$11,436","$12,657",(9.6)%
Diluted operating (non-GAAP) earnings per share,$ 12.81,$ 13.81,(7.2)%
